name,eye_x,eye_y,fingertip_x,fingertip_y
cs_np_12_0_0_59,460.52631578947364,102.89473684210526,1161.578947368421,536.578947368421
cs_np_12_1_0_96,457.36842105263156,108.15789473684208,1146.842105263158,639.7368421052631
cs_np_12_2_0_183,523.6842105263157,167.10526315789474,951.0526315789473,701.8421052631578
cs_np_12_3_0_232,293.1578947368421,74.4736842105263,1001.5789473684209,786.0526315789473
cs_np_12_4_0_303,522.6315789473684,209.21052631578942,897.3684210526316,594.4736842105262
cs_np_12_5_0_394,503.6842105263157,215.52631578947364,683.6842105263157,659.7368421052631
cs_np_12_6_0_436,505.7894736842105,217.63157894736838,666.8421052631578,710.2631578947368
cs_np_12_7_0_540,573.1578947368421,260.7894736842105,596.3157894736842,667.1052631578947
cs_np_12_8_0_702,778.4210526315788,288.1578947368421,723.6842105263157,519.7368421052631
cs_np_12_9_0_820,759.4736842105262,282.8947368421052,575.2631578947368,694.4736842105262
cs_np_16_0_0_147,55.263157894736835,507.1052631578947,364.7368421052631,900.7894736842104
cs_np_16_1_0_249,357.36842105263156,429.2105263157895,546.8421052631578,972.3684210526314
cs_np_16_2_0_358,541.578947368421,491.31578947368416,701.578947368421,887.1052631578946
cs_np_16_3_0_442,598.421052631579,474.47368421052624,885.7894736842105,838.6842105263157
cs_p_100_0_0_71,1339.4736842105262,255.52631578947364,1052.1052631578946,684.9999999999999
cs_p_10_0_0_342,70.0,42.89473684210526,379.4736842105263,193.4210526315789
cs_p_100_1_0_132,1172.1052631578946,346.0526315789473,973.1578947368421,720.7894736842105
cs_p_100_2_0_206,1205.7894736842104,319.7368421052631,1011.0526315789473,833.4210526315788
cs_p_100_3_0_272,1235.2631578947367,294.4736842105263,883.6842105263157,826.0526315789473
cs_p_100_4_0_332,1160.5263157894735,331.31578947368416,849.9999999999999,810.2631578947368
cs_p_100_5_0_387,1062.6315789473683,393.42105263157896,744.7368421052631,829.2105263157894
cs_p_100_6_0_457,1094.2105263157894,362.8947368421052,816.3157894736842,838.6842105263157
cs_p_100_7_0_500,1063.6842105263156,271.31578947368416,705.7894736842105,832.3684210526316
cs_p_1_0_0_71,395.2758620689655,392.2068965517242,813.3793103448277,576.6896551724138
cs_p_100_8_0_629,971.0526315789473,235.52631578947364,631.0526315789473,741.8421052631578
cs_p_100_9_0_667,906.8421052631578,257.6315789473684,479.4736842105263,837.6315789473683
cs_p_10_10_0_6181,640.5263157894736,186.05263157894734,873.1578947368421,508.1578947368421
cs_p_101_0_0_69,1443.6842105263156,429.2105263157894,806.8421052631578,600.7894736842105
cs_p_10_1_0_921,944.7368421052631,99.73684210526312,1325.7894736842104,427.1052631578947
cs_p_101_1_0_276,480.52631578947364,422.8947368421052,976.3157894736842,339.7368421052631
cs_p_101_2_0_456,1664.7368421052631,458.6842105263157,1393.157894736842,654.4736842105262
cs_p_101_4_0_806,1334.2105263157894,487.1052631578947,857.3684210526316,530.2631578947368
cs_p_101_5_0_1051,963.6842105263157,488.1578947368421,811.0526315789473,505.0
cs_p_101_6_0_1264,963.6842105263157,479.7368421052631,659.4736842105262,866.0526315789473
cs_p_101_7_0_1450,951.0526315789473,454.47368421052624,615.2631578947368,783.9473684210526
cs_p_101_8_0_1635,1651.0526315789473,451.31578947368416,1401.578947368421,456.57894736842104
